,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99
cell_157,2.0222223,0.5376941,2.0551586,-1.5268332,2.1068292,1.2426916,-0.36316562,1.488896,2.241097,-0.022087395,-1.5641629,-0.17010196,-1.2563212,1.9893838,-1.8792934,0.28862664,-1.0517526,0.5805352,-0.301615,-0.84352934,-1.077101,1.3471783,2.424035,0.98797077,0.05266867,-1.559897,-0.013933033,1.2109425,0.5066288,1.4416875,2.0422952,2.3637967,-0.79108286,-1.2774034,-1.8792934,0.5835658,-0.017127492,0.3564966,1.8484238,0.60082436,1.4190927,0.32620436,2.9069324,1.3773296,-1.8792934,1.2610617,-1.3831013,-1.4814088,0.5362909,-1.0879408,0.6432098,-0.65671206,1.4687973,0.09504166,0.88695467,0.46436623,-1.545507,-1.4506404,1.3911076,-0.9869132,0.36686835,-1.4302933,1.1057264,0.16615133,-1.0650346,-1.8792934,-0.9471431,-1.8792934,1.7861581,-1.0759176,-1.517497,-0.6418283,-0.21716705,-0.43425736,-1.0282236,2.525648,0.3290548,-0.6168395,0.20288041,1.9533254,-1.1184037,1.7038883,-1.8050885,-1.6550263,0.16210887,1.8738493,-1.2430837,-0.52942514,0.8202847,-1.0563549,0.34661075,1.0886136,0.7131561,0.26135394,-1.8792934,1.3756293,0.8531562,1.4259815,-1.8792934,1.793578
cell_158,1.529745,0.7612485,-1.2705522,2.0960627,1.0369984,-1.8792934,-1.8792934,0.54597247,2.0517025,-0.9844105,0.9023374,-0.12569293,-0.08336325,-1.8689914,1.7841296,0.86441237,1.7902436,0.52141744,-0.13376734,-0.07740003,-0.032820277,-1.6803714,0.08110428,0.83663666,-0.8650854,-0.3934642,-1.6624367,-1.0343126,-1.8792934,0.6303869,0.49789914,-1.5316893,-0.37597314,0.34961563,0.9908737,0.98057747,1.1686532,1.074992,-1.5334389,-0.9539941,-1.4411495,1.6818737,-1.5175456,-0.67076576,-1.8792934,0.91642493,-1.5419031,-1.1655941,0.3050437,0.5479375,1.4781127,-1.8792934,-0.19145808,0.96270424,-1.3864385,-0.4887619,-0.54887253,-1.482549,-1.1592379,-1.102076,-1.0398448,-0.42313093,-0.88769764,-1.485404,1.8873591,-1.5744405,-0.31093165,1.2768736,-0.7871751,0.56401134,-1.0766959,-0.66023177,2.3526366,-1.7472079,-0.62423587,-1.558536,1.306592,-1.8792934,1.272724,1.2192628,-1.8792934,1.3533615,0.40612677,-0.99955785,1.2754701,-0.049440682,-0.046544373,-1.8792934,1.3199852,-1.2945565,-0.8858618,-0.70841867,0.513825,1.6178067,2.4357765,-0.64648306,0.49581826,0.1703389,0.28573605,-1.5996548
cell_159,1.5533317,0.9058392,0.061136484,1.0228606,0.49860415,-1.8792934,-1.8792934,2.6458998,0.4381979,-1.4811323,2.0888364,-0.71474457,-1.6736279,-0.06491393,1.0836812,-1.1086867,-0.8002022,-0.45979553,-0.1134377,0.14427212,-1.5596442,-1.8792934,1.6917658,1.1962755,-0.66310424,0.35475457,-1.4010868,-0.111177415,-1.7530342,1.975478,1.4961804,-1.214538,-1.4097836,1.0152693,1.138606,1.4148183,-1.4016522,0.15980805,-0.45962685,-0.25475025,-1.8792934,1.220412,0.15389484,-0.23270443,0.12986769,1.2038755,-1.0810524,0.5336199,1.9817066,-0.2752874,1.2196751,-1.8792934,-0.62913406,-0.09858796,-1.1547251,-0.70814306,-1.0524048,0.8608504,0.076274306,-1.1961368,1.8288031,-1.1664499,0.31945378,-0.18921196,1.0046788,-0.2609703,-1.8792934,-1.1647061,1.265017,-0.24984565,1.615026,-0.62142825,0.21521805,0.4916784,-1.0962454,1.4648596,2.6782582,-1.5588756,0.94787115,0.80803406,-1.8792934,0.8952184,1.2119386,0.7218699,1.4841878,-0.26826692,0.116904646,-0.8414007,-0.09326486,-1.0194397,0.74879754,-1.8792934,0.06987736,0.9549149,0.045936644,-0.18749656,1.6855613,0.315871,-0.90581787,1.2379411
cell_160,-1.8792934,-1.7056607,-1.1048229,0.39024085,1.6606451,-1.2927966,0.099675745,2.4783163,-0.42222247,-0.6071352,0.5705099,1.0186328,1.6486421,-1.1441653,-1.296249,0.050687492,-1.299606,-1.1598206,-1.7627075,0.35128957,-0.62930614,-0.7786652,-0.6252606,1.298316,-1.1173911,0.34715122,1.1858224,-0.16580337,-1.8792934,-0.4626225,1.9084182,-0.3221225,-0.14693654,-1.241665,1.1252973,2.1067712,0.1595382,-1.8792934,-0.35155922,-1.8221233,1.3785803,-1.5333452,-1.3608003,1.6377382,1.1139424,-0.3261363,-0.9063572,-0.30426037,2.6334534,-1.4513198,-0.9705682,-0.2559892,-0.5983631,-0.55496305,0.699649,-0.9995901,-1.4837457,-0.16430254,-1.2532499,-0.39828616,-0.9976219,0.4294039,1.5846891,-1.5945228,-1.2144598,0.58217126,-0.6749747,-1.8792934,-0.7170576,-1.8792934,0.72876734,-1.8792934,1.0368267,-0.1745883,1.2744937,0.72881913,0.017650604,1.0110713,-1.5607125,-1.1240394,0.33507746,0.056564093,-0.49563292,-1.0603878,-1.3799016,1.8004031,-0.556326,0.8419698,2.4247663,-0.40353188,-0.8614585,-0.8997517,0.82437974,1.5759621,0.2870539,0.8350473,-1.2193292,0.028678706,1.862396,-0.9088508
cell_161,-0.3107261,-1.0715797,-0.49520698,0.8546912,-0.04023193,-1.5799519,-0.84462595,-0.60414803,-1.0128732,2.3705785,-0.74773896,-1.2771251,1.6218661,-0.95795214,0.37998873,1.0099396,2.620177,0.60031956,-0.12638876,-0.06864488,1.5285829,1.371953,0.27214628,-0.32266024,0.16269802,-0.6704685,-0.51348865,-0.27223325,-0.46682745,-0.98935723,0.6437539,-1.0919521,0.97053283,-0.44692272,0.8983033,-1.109097,0.13987735,1.0419545,0.6070851,0.6371335,0.62834996,0.46727085,-0.2857013,0.834208,-1.3697495,-0.83839273,1.1051152,-0.32088897,0.0909002,0.053006053,-1.1779939,-0.7417927,0.31091136,-0.8614413,-0.16835056,0.50871915,-0.5372687,-0.37140673,-1.3450919,1.1207161,-1.4373751,-0.3115632,-1.2603654,-1.3527561,-1.2218181,-1.5471177,1.8962551,0.8389632,-0.45592335,0.88699484,-0.7631104,0.25018185,1.8425603,-0.59162843,0.57763225,-0.4932747,-0.7428967,-1.0140381,-1.0890691,0.30773833,-1.2493535,-0.7902272,-0.3293022,-0.13910644,-1.1487087,1.3650353,1.3625911,-1.3595449,0.87490094,-0.94936806,0.39002845,1.3300328,1.1513418,0.6076702,0.14184323,-0.5518862,-0.07515368,-0.8898046,0.06712307,0.42337766
cell_162,2.4585998,-0.65953124,1.1299173,-1.4407636,-0.5543309,-0.39589638,-1.8792934,2.0150576,-0.95021707,0.022478253,0.93279177,-0.22294849,-1.6650684,-1.0993344,-0.5628944,0.5486456,-0.5083734,2.520741,2.9607475,-0.26505733,1.3508306,-0.7343838,1.995558,-0.24268751,1.9752574,-1.6402128,-0.83806616,0.63392556,0.056839943,1.5207272,1.1377311,1.1781416,-0.83641535,-1.732248,-0.33526883,-0.3287538,-1.7126092,-0.64056706,-0.8563378,1.1238606,-0.22041416,-1.8792934,-0.398427,0.953673,0.15819505,-1.5920243,-0.5942946,-1.0349424,0.55705106,1.2588111,0.40949,-1.8792934,1.0557053,-1.8792934,-0.046097457,0.7174168,-1.1305922,2.1761837,-0.57623875,1.8068048,0.22854072,-1.8792934,-0.9653134,-1.0143561,-0.3365867,1.314116,0.26965204,-1.7903999,0.8329321,0.4622876,1.5786042,-1.8792934,1.2718029,-0.41871715,2.6151783,2.2217731,-0.59474224,-1.3965265,-0.29908633,1.3075612,-0.7453866,-0.12736206,1.2775986,0.8603554,0.630868,1.0492669,0.65414715,-1.8792934,-0.7997447,0.16945012,1.1766851,0.94244814,2.0798032,0.8358543,-0.3837566,-0.831562,-0.58495754,-0.6893856,-0.6556692,0.78630865
cell_163,1.5727217,-1.7924755,-1.8792934,-1.8792934,1.5760133,-1.1230452,0.7025716,1.9581938,-0.50676274,1.3601278,-1.8792934,0.88324964,-0.016807556,0.02188322,0.018366694,2.3682916,-1.8792934,0.5033077,0.4697352,-1.5280561,2.017294,-1.8792934,0.07129888,1.7785486,-0.96783686,1.7199179,1.0710791,1.4841496,1.1886775,1.0119157,1.5884823,2.4553938,0.6783137,1.4609973,-1.6197128,1.7090116,-1.3093543,-0.17052267,-1.8792934,-1.8792934,-0.059710383,0.29440278,-0.72495466,2.1849253,0.024831288,-1.0679342,-0.51816773,1.4061649,1.6400672,-1.8792934,-0.5796213,1.7250854,-1.6979525,1.4015645,1.7213912,1.7377855,0.7835996,1.1568829,-1.0678772,-0.20197526,2.055199,0.22342874,-1.8792934,1.8537462,1.4571887,3.8935933,-1.8792934,0.64853156,1.6370577,-1.4400662,2.823074,-0.49585035,2.21624,-1.5889194,0.4681579,1.719801,1.1371628,1.008709,-0.80800325,1.930013,1.0083699,-0.47946846,1.4553181,-0.889409,-1.0007358,-1.1945591,-1.8274777,2.0366166,0.206278,-0.258124,-0.5715744,-1.311708,-0.6165418,2.3046536,-0.845449,2.113106,-0.3848753,0.14744794,-0.8049239,-1.8792934
cell_164,-1.4610158,-1.8264991,-1.5004363,-0.59021497,1.4030647,-1.4517877,0.22428404,1.2697289,-0.6773061,1.3641411,0.17896175,0.21350586,2.2847192,-0.87155515,-1.0208714,0.4637271,0.29315343,-1.1490386,-1.8792934,0.63497055,-1.3031751,0.27288225,-0.19654709,0.91080755,-1.3704671,0.5175883,1.4049225,-0.47777265,-1.3245246,-1.1642936,1.4146328,-0.9039393,1.667009,-1.8792934,0.25684142,1.6732564,1.0230361,-1.8792934,-0.2659592,-1.8792934,1.5120132,-0.78631985,-1.6366054,1.7074219,0.8396622,-0.16064698,-0.83378375,-0.9052588,1.2768025,-1.4131824,-1.0239199,-0.18631713,-1.2353448,-0.92847204,1.36273,-0.794893,-1.7345698,-0.6599991,-1.6915854,-0.86981165,-1.3963432,-0.16638434,0.79502845,-0.2790412,-0.7224304,-0.22808552,-0.15436646,-1.5222887,-1.2108907,-1.8792934,-0.008581698,-0.80199057,1.0715646,-0.16526695,1.4065908,-1.0604063,0.56189144,1.2832038,-1.8787277,-1.1706352,-0.2717684,0.3643763,-0.9423263,-1.8792934,-1.8792934,2.5446548,-0.98483044,0.7582385,2.6358337,-1.8021803,-1.3589954,0.29625064,1.2166895,1.6542519,-0.5053635,0.29828143,-0.6111444,0.06567067,1.4709369,-1.2540385
cell_165,-1.8792934,0.24563324,0.28329605,1.922055,0.0518786,-0.915879,0.18960229,-0.31339496,-0.239438,0.49989596,0.3856858,0.16401602,0.8753913,0.8091612,1.6464202,-1.7917571,1.1117078,-1.5663288,-1.1298604,-1.8792934,1.0302234,1.4264811,-0.25770587,-0.51040363,-1.3208463,-1.1467347,-0.238161,0.49145985,0.93065464,0.37495577,0.84440506,-1.6290911,0.9985284,0.5294396,-0.0050107054,-1.6127322,-0.6826699,1.2902591,2.401442,0.63364553,0.15728763,1.5802071,1.164248,0.4082257,-0.0117568225,-0.65402514,1.2382125,1.2593395,1.3077806,-1.0718366,-1.8792934,0.119347066,-0.18929425,-1.6036978,-0.4248239,0.074570656,-1.161693,-0.34815958,-0.3034163,1.3430831,-1.4085959,0.07892258,-0.5564398,-1.67669,-0.7844019,-1.2218552,1.9483316,1.5483255,-0.28062743,0.08191596,-1.2190776,-0.032277375,0.49248663,1.4331529,0.81995875,-0.01851438,0.13621834,-0.61794335,-1.8792934,-0.05033602,-1.5334308,-0.29969794,0.21436763,0.39868635,0.5248392,1.5432553,1.0031699,0.3194965,-1.023154,-0.9892544,0.34119195,0.25062346,1.8376766,1.7247772,-0.5388356,0.0698123,1.9467944,-1.7943537,-0.6299411,1.3298907
cell_166,1.2470313,-0.9148703,0.31201434,-0.7798617,-1.1117467,-1.7283845,-1.5540668,0.9517788,-1.6199367,0.895209,-1.5347435,-0.91630316,0.8505112,-1.7597162,-0.77499515,1.7980402,0.7453613,2.0233064,2.2469256,0.109621495,2.3462777,0.002974853,1.0670369,0.02668795,1.4885197,-1.1943569,-0.68172044,0.77283627,-0.8359778,-0.2957548,0.6101328,0.27635822,-0.32051995,-1.1465783,0.4254319,-1.1205128,-1.6852025,-0.31666124,-1.3016858,0.3143862,1.4434447,-1.3065574,-1.5800197,1.3650768,0.07870172,-1.8792934,0.98895514,-0.8902052,0.08570996,0.88484186,0.8795477,-1.6244004,1.4655135,-1.838397,-0.36774603,1.1134499,-0.21516725,2.4718316,-1.7965493,2.0106397,-0.4504506,-1.8792934,-0.9938183,-1.540528,-1.231069,0.7701595,1.1820581,-0.37461245,0.6980537,1.1693126,1.1658062,-1.6595969,1.7294043,-0.41174904,2.0397239,0.97831273,-1.1499255,-1.8792934,-1.8658488,-0.06412822,-1.0559763,-1.1017978,1.4289209,1.6091689,-0.449834,1.6710284,1.7093079,-1.7094266,0.26594496,-0.35908958,0.3478325,1.4771254,2.356299,0.114740685,-0.2936143,-1.0613629,-0.83570784,-1.7488073,0.65224373,1.1554269
cell_167,0.5264839,-0.48957798,1.0321904,-0.59327453,0.7069891,-0.9775692,-1.4894302,2.1674345,0.6270294,0.14749321,0.4704559,0.0060807467,-1.8792934,1.3417698,1.6105804,-0.73216045,-0.2016617,-0.39510447,0.8435252,-1.8792934,0.947585,-0.5555276,1.5511693,-0.34993052,0.40753475,-1.6215916,-1.1137247,1.171057,0.95506346,2.3295298,1.5458841,-0.003353566,-0.4352457,-0.23633364,0.96434975,-0.6163694,-1.8792934,0.5804926,1.5515282,1.3087517,-1.1150376,0.21885246,0.7123444,0.90095234,0.59569824,0.20158562,-0.5385703,0.5159306,2.4093494,-0.1972619,-0.8129467,-1.0538044,0.18555593,-0.47352183,-0.09320867,1.4218051,-1.7510453,0.87906903,1.5972618,1.1597631,1.0003599,-0.18950856,-0.7251545,-1.7017055,-1.0743486,0.7079007,-0.86199266,-1.8792934,1.4720858,-0.7351838,0.8172625,-1.0567497,1.7666957,-0.46732536,0.71758217,2.2063508,-0.35465673,-1.2666658,-1.3527957,1.2815548,-1.5088972,-0.5812063,1.6968939,0.16413736,0.79049385,0.8949083,0.11970043,-0.3890648,-1.6359996,0.16786298,0.84065986,-0.56622756,0.42795974,2.24143,0.29485732,-0.11859164,1.324774,-1.6005979,-1.8792934,1.5351586
cell_168,-0.2651324,-1.8792934,0.017303469,-0.15307514,-0.0037956536,-1.8792934,-0.6684746,0.83901024,0.37206262,2.2399337,0.09936534,-1.8792934,1.3550755,1.1462795,1.550614,0.36673567,2.4310439,2.0828965,1.2233218,-0.83549166,0.85537547,1.1683794,-0.21133173,0.7048596,2.0365028,1.2237378,0.120239705,-1.3511591,-0.10985642,-1.8792934,-0.117391765,0.12525398,0.4849319,-0.47991946,0.18436083,-0.4289496,-1.0436765,1.1289113,-0.32269162,-0.1750527,-0.34576976,-0.7557031,-0.60533327,0.74821675,-1.6512856,-1.8792934,0.8030838,1.1109276,0.73431844,1.1426458,-1.8792934,-0.79702526,0.9721484,-1.301106,1.2116247,-0.14590009,-1.2000667,1.530533,-1.8792934,1.8560433,0.9554128,-1.3860201,-1.5394351,0.31755018,0.7324612,-0.57160956,0.22683203,0.10715553,-1.2165964,-0.28243104,0.9562635,0.5623973,0.92513263,-1.397742,1.0107535,-0.1291935,-1.3476027,0.49940237,-0.46201736,-1.1474305,-0.7909512,-0.92831504,0.7923717,-1.139982,-1.8792934,1.3579565,1.6755264,-1.8792934,-0.012095213,0.5209212,-0.71376914,0.6472141,1.8022249,-0.108177304,-0.2508011,0.2267529,1.058873,-1.6842289,-0.6071924,0.4161324
cell_169,-1.6008049,-0.8398795,-1.3919146,-0.7518648,1.6091645,-1.2690133,0.325828,2.8715641,-0.122713625,-0.7434058,1.745466,0.8873288,0.99682,-0.6640282,-1.0244237,-0.07743858,-1.6611636,-1.023449,-1.8792934,-0.06032592,-1.3006971,-0.805758,-0.5907775,1.8772956,-1.5816684,-0.1318643,1.8582646,-0.6262684,-1.1632613,0.31246924,1.814118,0.31939638,-0.045718487,-1.4453459,0.89397275,2.5444756,-0.23033278,-1.8792934,0.17720057,-1.8792934,1.709162,-1.8792934,-0.97049695,2.1803818,1.2527021,-0.38787177,-1.2206111,-0.181401,3.0560274,-1.3129044,-0.80532,-0.64278775,-0.52607614,-0.8940341,0.40061876,-1.1865511,-1.8792934,-0.10719883,-0.9257073,-0.5321382,-0.07961966,0.8703856,1.4051223,-0.6826211,-0.6082487,2.2760606,-1.2466135,-1.8792934,-0.98587596,-1.8792934,1.4813066,-1.8792934,0.0059071183,-1.1316888,2.2539349,0.97241455,0.11914989,0.95602494,-1.8737127,-0.74030364,0.7852479,-0.1225068,-0.13621646,-1.211602,-1.446625,1.8430668,-1.2238256,0.34507978,2.708486,-0.59386855,-1.3672911,-0.67348117,1.108137,1.9223944,-0.2616459,0.8544135,-1.8792934,0.3291722,1.5689862,-0.948486
cell_170,0.6692834,-0.9655972,1.3432932,-0.54817975,-1.3231097,-0.6619256,-0.5851302,0.6600057,-0.51361763,1.0353761,-0.16860324,-0.76928973,0.2636746,-1.272446,-0.4119363,0.99244153,0.9988921,1.4831493,1.0799872,0.70530546,1.3002752,1.2188982,0.90704834,0.13083121,2.1048596,-0.55614656,0.12767899,0.26059973,-0.8880341,-0.68327856,0.69937867,1.0182788,-0.00462438,-1.4647912,-0.53949666,-0.8978412,-0.30972645,-0.22596793,-0.57056713,1.0537782,1.129432,-0.89186585,-0.16542709,0.53766054,-1.5431373,-1.8792934,-0.08543798,-1.5392964,-0.7750943,0.75588435,0.7865213,-1.6384014,2.0226195,-1.5336075,-0.15050757,0.56482,-0.15276977,1.4680085,-1.776219,0.59205663,-1.4067363,-1.8792934,0.2386885,0.033692747,-0.682773,-0.5631169,1.4677204,-0.090195134,-0.051480006,0.250916,0.15596323,0.38435078,0.09222196,-0.8551908,2.0387647,0.21100217,-1.3215449,-0.70641625,-1.4957178,-0.19457826,-1.2067599,0.35690355,0.34664452,0.07171808,-0.98494893,1.1445775,1.1970958,-1.8792934,0.5719028,-0.029206038,-0.6211932,1.9616936,2.58532,0.06109467,-1.4902422,-0.818855,-0.5201788,-1.1681279,0.609131,0.70013887
cell_171,0.30761275,-0.85257995,-0.73620313,-0.21770123,0.5739447,-1.4036609,-0.13514853,-0.24239826,-0.55101573,1.5018463,-0.6593828,-1.5336981,0.71995145,-0.23486644,0.2545681,1.7140297,2.1460621,0.2956172,0.57305443,-0.98301935,2.0303736,-0.35384956,0.9604637,0.7288755,0.980294,-0.84177196,-1.2955104,0.2713854,-0.03671947,-0.32264394,0.3016833,-0.97368145,-0.2856265,0.27116132,0.8533967,-1.295769,0.25735348,0.6698371,-0.29074883,0.66186637,0.61298305,0.19310167,-1.2245015,0.26310566,-1.0269226,-1.2025584,1.0442244,-0.109787196,0.43167788,0.6147819,0.022970721,-0.8758031,0.22895849,-0.7475479,-0.30642128,0.21579444,-0.59404093,0.8449003,-0.973874,1.7275255,-0.8157862,-0.71224356,-0.71919644,-1.3632413,-0.7296664,-1.1194445,1.752107,-0.14424667,-0.7198878,0.8815254,0.28275394,-0.26062393,1.7006867,-0.5708133,0.026716292,0.13773564,-0.8299438,-1.4960093,-1.1910148,-0.4292345,-1.5883452,-0.8393418,0.16883337,-0.025946528,-0.8276765,1.6289306,1.3864114,-1.5751349,0.046392307,0.15227127,0.3112108,0.7222,1.3588303,0.9345863,0.9441298,-0.5240096,0.49717486,-1.8792934,-0.2963862,1.8507538
cell_172,0.9976014,0.5854899,-0.115474716,-0.021770198,-0.34361243,-0.6331404,-0.5164798,0.8898748,0.6212479,-0.05710551,-0.4439973,-0.98228085,-0.6797895,0.38153315,0.6447126,0.6468531,1.4995925,-0.48246974,1.1644484,-0.39851934,1.738755,-0.83877295,2.1624656,0.027487159,1.134052,-1.8792934,-1.381431,0.6981721,1.9877182,1.3327476,1.5478383,-0.7879602,-0.7236793,-0.15379156,0.762962,-1.373407,-1.4166398,0.5338239,1.357368,1.5319442,0.2461234,0.4419659,0.49654734,0.18311727,0.33302832,-0.21060419,0.70545435,-0.3503037,0.8410221,0.1456814,-0.38349786,-1.628755,1.0043881,-1.0546765,-0.59154207,0.068299375,-1.1810334,-0.118228495,0.29050142,1.946777,0.08321485,-0.6954635,-0.32488805,-1.6487315,-0.33582696,-1.1121458,0.98068345,-0.9235363,0.14665401,-0.18242335,0.36745757,-0.16465521,0.96620405,-0.39691696,-0.083875924,1.8047605,0.040323496,-1.5060956,-0.7310383,0.33765024,-1.3279195,-0.10082036,0.917247,0.70904016,0.38957915,1.3046033,1.4622549,0.5058066,-0.8230184,0.58991855,0.86962914,0.6115983,1.1206462,1.8815024,0.15275308,-0.6437889,0.7723059,-1.8792934,-1.3875798,1.1956921
cell_173,-0.41751575,-0.3798194,0.85079324,0.6283953,0.83204097,-1.6018075,-1.3490576,0.14063019,-1.8792934,0.86928684,0.71789086,1.0490072,0.3619091,1.373836,1.660123,-0.39427125,0.23824838,-0.04430446,-0.045742515,-1.8792934,2.0437167,1.2701907,0.31228966,-1.4287015,-0.696839,-1.4031576,-0.46074045,0.554528,-0.15638463,0.9291925,1.2990848,-0.26810718,0.9207097,1.2229091,1.1074402,-1.5185251,-1.8792934,1.5005628,0.9423361,1.5944028,-0.7322292,0.19557479,1.1519089,1.36708,1.0865339,0.81736344,-0.14176184,1.3731439,1.117265,-0.9488227,-1.8168763,0.3823149,-0.78940296,-1.8792934,0.059148386,0.9852641,-1.2762581,1.7849293,0.48718676,2.0485635,-0.32720813,-0.25139493,-1.8792934,-1.4450693,-1.7847692,0.53627056,-0.0029075854,0.16262268,1.074897,1.3416017,0.33892876,-1.8792934,0.85658705,1.337414,2.3610835,1.5266106,1.0460478,-1.4993618,-1.8792934,1.8124038,-1.8792934,-1.122938,1.5255817,1.4616638,0.47952187,0.45340914,0.9216621,-0.11832398,-0.87611204,-0.4021467,0.4878826,-0.26998535,1.8018408,1.8107204,-1.4958866,-1.0828323,1.3932661,-1.5764613,-0.7653599,0.6736819
cell_174,1.1501759,-1.1954668,0.2233872,-1.0075117,-0.30773547,-1.0658185,-1.6879094,1.8616748,-1.5062286,-0.63626873,0.075668484,-0.035013646,-1.2780482,-0.36822027,0.30981034,0.39581212,0.024511456,1.4655203,2.0566616,-0.97304666,1.6454761,-1.1934147,2.1395307,-0.14811209,1.3286878,-1.5181295,-1.1006488,1.6953275,0.3950454,1.6493706,1.0318373,0.9409771,0.21228875,-0.5242375,0.90900797,-1.0339264,-1.8792934,-0.49826878,-0.83336854,1.6805537,0.116177015,-1.3124434,-0.49776262,1.6776602,1.7863622,-1.1635169,0.028294548,-0.43011174,1.3627157,0.18893972,1.2823265,-1.6514221,0.016856104,-1.3936608,-0.94649166,1.6085452,-0.6604762,1.4232566,-0.28534323,1.6388638,1.3033761,-1.5778996,-1.7459743,-1.8792934,-0.30215198,1.0877371,-0.25318787,-1.1628531,1.5117527,1.131314,2.2296243,-1.4127051,1.6281846,0.32538885,1.4403981,1.4998134,-0.55601555,-1.8792934,-1.8161254,0.78915983,-1.332334,-1.3979266,1.8295248,1.4733021,0.37874037,0.7160986,0.8060237,-0.94172525,-0.60033,0.5753536,0.9684962,-0.1700933,1.5120189,2.2863898,0.30055898,-1.2750318,0.39469856,-1.8792934,-0.9687143,1.6794974
cell_175,-0.31479964,0.660781,0.5958177,0.4676281,0.5994803,-1.0725204,-1.390887,1.2528394,-0.60791224,-0.42591032,-0.4271573,0.73181796,-0.2597928,0.53485274,1.0166528,-0.6486444,0.53159964,-0.6161171,0.19610317,-1.3704425,1.2079643,-0.6967227,1.546642,-0.7485024,-0.18201989,-1.8792934,-1.5127246,1.9445606,0.2681833,1.8041948,1.3925847,-0.7249759,0.43846852,0.73556876,0.6601237,-1.327422,-1.7923442,1.1729769,1.5244703,1.7430032,-0.30082852,0.40765578,0.62291527,0.6553384,0.91432995,0.2114621,0.46144196,0.50390947,2.1506803,-0.4477368,-1.1515517,-0.8117644,-0.31819022,-1.3769325,-0.73563033,-0.20768526,-1.6408834,0.6600764,0.19144404,2.127347,0.41228122,0.12578237,-1.3843424,-1.5482926,-1.4694818,-0.80085754,0.46402174,-0.45054823,1.4392941,-0.20544115,0.9965601,-0.5957564,0.7342794,1.188837,0.94701463,1.6471527,0.041378096,-1.8792934,-1.4683903,1.2281482,-1.4128838,-0.7051423,0.473302,1.1152073,1.2776062,1.0169337,1.4042511,0.5744507,-1.0081666,-1.0934172,1.6078715,-0.29742023,2.0573707,2.5431297,-0.30351305,-0.5360738,1.3039372,-1.733096,-1.2106888,1.3232899
cell_176,1.3098046,-1.7418101,1.9173514,-1.1170119,-0.9444047,-0.92635506,-1.8792934,1.4271407,-1.5946213,0.7071754,0.27809048,-0.63648087,-0.68958366,-0.57501245,-0.053865075,0.6218678,-0.85864747,2.5470378,1.923439,0.52205265,1.8285213,-0.2373088,1.5005704,0.26224706,2.0725806,-0.7465941,-0.06626636,1.3221111,0.06870526,0.21169381,0.4755019,1.5072637,-0.124254584,-1.8792934,0.06318681,-0.65802276,-1.8792934,0.34008536,-0.9992976,1.2111108,-0.09945208,-1.8792934,-0.9020591,1.8832566,0.36070856,-1.8792934,-0.55829513,-0.9977886,0.3725538,0.4464368,0.7944045,-1.8792934,1.6026245,-1.8792934,-0.50333154,1.086659,-0.7688335,3.4270723,-1.8779567,0.82724464,-0.55168575,-1.8792934,-1.5510573,-0.31928813,-0.6253652,2.1700466,0.8058581,-0.38672936,1.2057607,1.5943396,1.9336663,-0.89421237,0.7051303,0.023073718,3.632847,1.2618567,-0.5994595,-1.3295214,-1.8792934,0.49027437,-0.85749215,-0.5629262,2.4319077,1.6412756,-0.19350633,0.891652,1.5861899,-1.8792934,0.12991856,-0.29090148,0.39023936,1.696117,2.7071462,0.9831698,-1.5931909,-1.4744267,-0.09206325,-1.0444387,0.7434881,0.39526117
