,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99
cell_10,1.9064503,1.0675825,-1.0714161,0.9438418,0.3750722,-1.8792934,-1.8792934,1.8529829,0.058082156,-0.20228933,0.4403338,-1.461445,0.46293336,-0.4541761,-0.87076473,-0.5260238,-0.03863492,-0.90564597,0.65970933,0.653972,-0.63273793,-1.6511211,0.57910097,1.2521315,-1.5505028,0.5664214,-1.750262,-1.0548302,-1.2156811,1.3744394,1.1189007,-0.95502293,-0.4613336,0.54840875,0.9034507,0.6686896,-0.17803079,-0.13829017,-1.8374449,-1.3905439,-1.7136209,0.93597794,-0.6513234,0.8440483,-0.5506203,0.35638583,0.47090095,-0.26290864,0.64350784,-0.41371107,1.9757388,-1.662788,-1.2062199,-0.5287699,-1.8792934,-0.98981106,-0.6270582,0.7888802,-1.4928905,-0.46017808,1.5704341,-1.8792934,0.22424807,-0.56388843,1.4855156,-1.2967429,-1.3569211,-0.6475298,0.40463194,0.025003688,1.0415012,0.8518089,0.15754116,-0.052933216,-1.1771954,0.26820287,1.4535756,-1.3902075,1.0514698,0.038642585,-1.8792934,1.0737966,1.0539203,0.48880106,0.33974224,-0.6714337,-0.3212955,-1.5554765,-0.47582,-1.5518246,1.0961437,-1.041964,-0.12059055,0.096642934,-0.009386361,0.010534644,1.1895101,0.38481617,0.61899936,-0.18401346
cell_11,0.9848831,1.1559902,0.66911995,-0.49104476,0.8472869,1.4697899,-1.3660406,1.9336798,1.3086045,-1.8792934,0.8130718,0.67634654,-1.8792934,0.6392548,-0.58290595,-1.7714745,-1.8792934,-0.91530883,-0.65122855,0.5438291,-1.0804256,-1.2709049,3.1384728,-0.06889194,-0.16884905,-1.8792934,-0.7607582,1.0788366,0.20890741,2.7666676,2.3151643,0.19023377,-1.1259598,-1.0471374,-0.76683414,0.10317467,0.19370359,-1.0292412,2.1820369,0.3310591,0.035131223,0.12871632,0.44129092,1.1526929,0.47262892,0.7874482,-0.46453103,-1.3882627,1.0306362,-0.5461819,1.1885542,-1.8792934,1.3773885,0.07301155,-1.1952635,1.07354,-1.8792934,-0.6748151,1.2577065,-1.0313044,0.9393099,-1.6876439,2.483914,-1.4072773,-0.881573,-1.055074,-0.4008249,-1.8792934,1.3194593,-1.8792934,-0.24076569,-1.173786,-0.9585916,1.1884481,-0.5241894,1.8933585,0.51638645,-1.0010659,0.06173888,0.78395665,-1.8792934,1.901804,-0.38397002,-0.6883317,1.6526394,0.5163197,-0.80674154,0.82124984,-0.6145238,-1.3789504,0.875352,0.6010295,0.39552066,0.9196393,-1.5820854,0.657308,-0.054508,-0.059428416,-0.7529198,1.9003596
cell_12,0.5157826,0.57543784,-0.51644135,0.32803977,0.33737537,-1.13468,-0.5921084,0.37718612,-0.66655934,-0.1071713,-0.67273617,-0.50823647,0.9988595,-0.35590702,0.45200983,0.74412614,1.4425267,-0.20359144,0.31078964,-0.09032798,1.84652,-0.7511782,1.1960047,-0.7571644,0.8400639,-1.8792934,-1.1077636,0.6401495,0.71874213,1.2203496,1.2282138,-0.94453555,0.83793,0.6709845,1.2472469,-1.1324434,-0.86733234,0.40103576,0.29940918,1.8661535,0.22918454,0.07794711,-0.2374316,1.4300244,0.45813632,-0.21965542,0.7324296,0.3585729,1.5407425,-0.6308413,0.106184594,-0.8483795,-0.3110208,-0.5800299,-0.5937828,0.24758565,-1.0516212,0.2815111,-0.24414076,1.2835991,-0.5265938,-0.2240335,-0.6579237,-1.5118113,-0.801981,-0.7360239,0.7734935,0.21386157,0.65838414,0.76515114,-0.081074804,-0.7666951,0.7346459,-0.7766626,0.037089065,1.1665063,0.15857449,-1.8792934,-1.0659128,0.72876155,-1.8792934,-0.64845884,1.0349301,0.70815015,0.16989528,1.0284635,0.9762031,-0.10182206,-0.9574601,0.12594607,1.0525737,0.65812296,1.4662968,2.4224763,0.061364546,-0.6784092,0.33079103,-1.7068783,-0.15071762,0.98212737
cell_13,-1.5860262,-0.6196663,0.45858276,1.4126186,-1.8792934,-0.633929,1.2254478,0.37576514,1.7246568,-0.0011404157,0.81702244,-1.8792934,0.3731684,2.0721064,3.0856144,-0.89081514,2.8099537,0.7133035,-0.038622543,-1.395597,-0.2719428,1.0699648,0.3631917,1.2890384,0.5895254,1.4106013,1.9138031,-1.1141615,1.0550121,-1.141566,0.45407438,-1.8792934,0.6144253,-0.32672477,-1.2684685,0.53727865,-0.18349119,0.83540916,0.9334275,1.2173755,0.1373026,1.1128855,2.7842045,0.3312047,-1.3974992,-1.2223729,-0.51471025,-1.0154246,0.28333417,0.0342346,-1.3324122,-0.7327745,1.2445278,-0.6513671,0.011776194,-0.9890938,-0.30394042,0.5515675,-1.3200438,-0.14736167,0.9271237,-0.8348304,-1.090482,0.7488128,2.663849,-1.514245,1.1953075,2.6552389,-0.34743735,-1.5064287,0.18663338,1.7866066,-0.795683,-1.4806678,-1.8792934,-0.32381168,-0.13072753,0.44225585,1.3153479,-1.0261161,-1.5071853,1.0591321,1.6402482,-0.7448615,-1.2859164,1.2863442,1.6330112,-0.64900684,0.4554012,1.4086227,-1.8792934,1.1821367,1.0006523,1.2875199,-0.27849168,0.3689719,2.4395075,0.09334576,-1.8792934,-0.021025304
cell_14,1.6055032,-0.15476689,2.2349455,-1.8792934,1.8706012,1.2339056,0.20114195,1.1683416,1.8383669,1.4073336,-1.8792934,-0.51526463,-1.4639235,1.8070779,-1.8792934,1.0738088,-0.54020566,0.75571084,-0.19986668,-0.0351637,-0.6283659,1.4515357,2.461898,1.0487231,0.16303071,-1.8278958,0.274957,0.887287,0.15752298,0.29120594,2.4031432,2.627054,-0.6760548,-1.8792934,-1.8032441,-0.18476367,-0.29899976,0.63664365,1.5070434,-0.38967383,1.9898698,-0.29725897,2.2959807,1.8640184,-1.1218997,0.9625496,-1.8792934,-1.8792934,0.45904598,-0.15498918,0.8507664,-0.85372424,1.7254505,0.9449769,0.9189616,1.4231546,-1.8792934,-1.335387,1.7519151,-0.7272922,-0.18807769,-1.1841992,1.4194267,-0.01863277,-1.8792934,-1.8792934,-0.84041166,-1.8792934,1.4929441,-0.80924356,-1.4948431,-0.66736645,-0.40683517,-0.5913847,-0.5705344,3.0141912,0.1707119,-0.07968916,0.0030786693,2.1746025,-1.0240214,1.6366067,-1.2846075,-1.8792934,-0.35475516,1.8280628,-1.1561419,-1.2541989,1.4365108,-0.3182913,0.79993993,1.414285,1.0032129,-0.5028172,-1.8792934,1.8703222,0.6485189,1.1756277,-1.8792934,1.6595957
cell_15,0.044995174,-1.5614784,1.4905908,0.30185178,-1.4791954,-0.5803267,-0.7153764,0.9403115,0.6474142,2.429083,0.2531901,-1.4984695,0.1759823,0.07813066,0.043352045,0.010599744,1.596445,2.2117567,0.50043803,0.12927711,-0.19595802,1.9018205,0.6443673,1.3629072,1.2423404,0.9780432,0.90564686,-0.24993947,-0.24687749,-0.96434414,1.1493,0.43477052,0.6296818,-1.8792934,-0.28313723,0.21054338,-0.5836246,0.867544,0.60923284,0.53018355,1.794333,-1.032002,1.1849985,1.2360142,-1.8792934,-1.4702736,-0.4424633,-0.6197479,0.1482083,0.27267873,-0.28343436,-1.1326337,1.553323,-1.3427655,0.7013819,-0.09302738,-0.77028537,1.8042039,-1.4967943,0.37259334,-0.08776969,-1.8792934,-0.575119,1.2534052,-0.0037284866,-0.1818513,0.7009066,0.2840821,-0.21293023,0.35283855,-0.10267079,0.7858243,-0.30228394,-1.0932263,1.0712843,0.7630711,-0.19713587,0.18469949,-0.13712698,-0.78550756,-1.7307407,-0.5306717,0.91151875,-0.98649323,-1.8792934,2.268262,1.298912,-1.8792934,0.8101474,0.11715791,-0.7984208,1.9274902,1.6826187,-0.4364913,-1.4069831,0.11562608,1.2190809,0.034823082,-0.8744588,-0.14096862
cell_16,-0.091386914,-0.27479386,0.029309936,0.6089924,0.63585496,-1.6167727,-0.22209424,0.7400515,-0.84156555,0.978261,-0.61915827,0.3605531,0.9790918,0.50247335,0.011233211,0.3742891,1.3312805,-0.9194559,-0.07858884,-1.1925327,1.287043,0.12836759,1.354358,-0.49370024,0.38074923,-1.8792934,-1.0626241,-0.11454329,0.5662674,1.0842121,1.3736949,-0.889081,-0.29972455,0.7579975,1.601945,-1.487165,-1.5779287,0.44224277,0.3536082,1.2366463,0.10962543,0.40106225,0.5174891,1.4535611,-0.30037442,0.21150526,1.2860404,0.4575951,1.9354534,-0.43293634,-1.0774479,-0.89240813,-0.20881054,-0.9825746,-0.21870187,0.19114429,-1.5094819,0.8992733,-0.61467385,2.4978902,-0.33303055,-0.041743264,-1.270456,-1.8792934,-1.5806491,-1.0170842,0.5022218,-0.3703959,0.17974773,0.033642918,0.80570364,-0.19719106,2.0966902,-0.23462598,0.71886635,1.4959335,-0.2719532,-1.3420388,-1.4209499,0.33384702,-1.2667582,-1.137444,0.32820508,0.8463111,-0.631991,1.4649284,1.5466135,-0.18740252,-0.8412237,-0.17172572,1.2040803,-0.050518394,1.3518121,1.4767535,0.15684412,-0.16975218,0.5869965,-1.8792934,-0.4242488,1.2990324
cell_17,2.3796668,-0.7106004,1.5982854,-0.90456843,-0.4556078,-0.8288204,-1.8792934,1.7748917,-0.54802036,-0.61252964,0.5753649,-0.30441934,-1.8792934,-0.7115249,-0.14456727,0.5525022,-0.18297864,1.6931964,2.2089777,-0.08805672,0.92177486,-0.8027109,2.2134688,-0.13421142,1.8641711,-0.7267867,-0.5626597,1.9113071,-0.15747622,1.8985236,0.8663733,0.9545238,-0.7274689,-1.6009761,0.77646184,-0.21725619,-1.7548445,0.17293194,0.12668309,0.87549925,0.04418303,-1.2469703,-0.2977723,1.2232882,1.11986,-1.8031818,-0.40226597,-0.77309096,0.8813826,1.3830844,0.42062768,-1.8792934,1.3991601,-1.3691828,-0.5667952,0.19366863,-0.9750933,1.663445,-0.644223,1.370305,0.4168828,-1.8792934,-1.1691711,-0.8954189,-0.2148363,1.0280771,0.33366856,-1.423338,0.73255605,-0.32888225,1.42089,-1.7471097,1.0541745,0.25245166,2.1382506,1.8774837,-1.0779481,-1.2624493,-0.8967217,1.3962793,-1.0181996,-0.10710207,1.9114095,0.9587412,0.3531041,1.2191972,0.8896853,-1.8792934,-0.092629135,0.7466058,0.30011988,1.2715822,2.5270672,1.5439417,0.053352922,-1.174542,-1.440738,-1.0770526,-0.62082404,0.6822116
cell_18,2.384481,-1.8792934,2.013309,-1.8024088,-1.2630311,-0.1809231,-1.8792934,0.99581623,-1.8438269,1.0357202,-0.12660928,-0.03222078,-0.051077753,-1.2406318,-1.1503829,1.1557343,-1.8340158,2.9990194,2.854043,1.0796361,2.5799532,2.1846638,0.9928137,-0.057364315,1.7359378,-0.0848833,-0.12216906,1.7985127,-1.8186505,-0.8844282,-0.67910755,2.914945,-0.6511401,-1.8792934,-1.2717384,-0.41378835,-1.8792934,-0.5749501,-1.3916625,-0.06988792,1.1328979,-1.8792934,-0.75484836,1.6875395,-0.3418405,-1.8792934,-0.87275,-1.3822199,0.07579596,1.210942,1.5275712,-1.1710589,1.7297313,-1.8792934,-0.33268464,2.655638,0.3232835,5.2119946,-1.8792934,0.94013274,-1.788063,-1.8792934,-1.8792934,-0.19998828,-1.1626308,3.0145643,0.4558352,-0.32426187,1.4179287,1.6197462,0.7364689,-0.96431,0.47209245,-0.45506275,3.7465703,1.3372521,-1.0605452,-0.5843912,-1.2585047,1.2801439,-0.64820856,-0.032180205,1.8688813,2.1317773,-0.2679507,1.6662247,1.0579567,-1.8792934,0.53882366,-0.63367677,0.8213203,1.6143041,3.2091641,-0.6147522,-0.9660844,-1.1646484,-0.8391234,-0.9447104,1.4226732,0.17049442
cell_19,1.6642846,1.8697436,-1.7153528,1.3156497,-0.26554832,-1.8792934,-1.8792934,1.8602834,-0.97146976,0.5961808,-0.27033743,-1.8568342,1.0526019,0.17964432,-1.0820285,-1.0599184,-0.6388407,-1.6773595,-0.6605948,0.9355241,-1.3039995,-1.2833219,0.6988318,0.60340774,-0.8700589,1.5427899,-0.39722365,-1.2287232,-1.8792934,1.1930943,1.395337,-1.6662109,0.09887627,0.8051986,0.09131242,1.3680627,-0.4284866,-0.15695047,-1.2851182,-0.2599254,-1.6641526,1.2412196,0.07881981,0.43214902,-0.5414809,0.34659335,1.2975888,0.4516263,-0.15682,-1.1465065,1.6612988,-1.2313325,-1.4619082,-0.93962216,-1.5019062,-1.1272203,-1.3248098,1.3945783,-1.8792934,-0.81163675,1.2058086,-1.8792934,1.5143583,0.9028817,1.725131,-1.8792934,-0.123221904,-1.0137262,1.0497698,-0.44507337,2.2092996,1.9846586,-0.98441523,1.4332843,-1.266346,-0.63991797,2.117336,-1.3162162,0.44500414,-1.8792934,-1.8792934,1.3667134,-0.19814974,0.97482586,-0.16856657,0.17874819,0.81567603,-0.420217,-0.033459634,-1.8792934,0.98638844,-1.1153793,0.0529854,-0.3986811,-1.8140497,0.88358134,1.602145,0.61870545,1.129454,0.98813
