,importance score
KPNA6,0.005171250589318928
TXLNA,0.002795649213330612
EIF3I,0.0019030145999589553
LCK,0.00034361459462722106
HDAC1,0.0017879109614043478
MARCKSL1,3.511811282986006e-05
FAM229A,0.00093027314593208
BSDC1,0.0026454253937759804
ZBTB8OS,0.0004952890945123705
RBBP4,0.009269973322457868
YARS,0.01010504224767353
S100PBP,2.224102824380771e-05
RNF19B,0.008494151235751892
AK2,0.002209243941616627
TRIM62,0.00012770444560336803
ZNF362,0.002094304718377617
PHC2,0.0035889945513727472
SMIM12,0.004005210413137323
ZMYM6,0.009669726981055742
ZMYM1,0.0008731791322386682
SFPQ,0.006475629641753078
ZMYM4,0.001283884101027108
KIAA0319L,0.0068277585213800725
TFAP2E,0.0012846675252267629
PSMB2,0.0004684963613155253
AGO4,0.006569758800542645
AGO1,0.00550127256070451
AGO3,0.003557197636436664
ADPRHL2,0.0017777970514274242
TRAPPC3,0.0025363724784223086
MAP7D1,0.009815253276267076
THRAP3,0.012252752779079192
STK40,0.0058765110526197055
MRPS15,0.0026912733713083683
CSF3R,0.002840670482968784
ZC3H12A,0.00463297468683347
MEAF6,0.0018042504605353354
SNIP1,0.016164982581444814
GNL2,0.0013389145941984611
C1orf122,0.0015786185322888618
MTF1,0.004121775190067226
INPP5B,0.00534801290339023
SF3A3,0.0014812984086382487
RRAGC,0.0018840640149844047
AL139260.1,0.0022191418091609713
AKIRIN1,0.002674634550264823
NDUFS5,0.00572362741174627
MACF1,0.02882298781429823
PABPC4,0.002089854723412197
PPIE,0.00040844036024634294
MFSD2A,0.0019875903606375867
CAP1,0.02236585145401069
PPT1,0.0008207191285416291
RLF,0.005270412447130101
ZMPSTE24,0.0008354193293951085
COL9A2,0.002456308750703846
SMAP2,0.003362594260242112
NFYC,0.0003005959939772902
CITED4,0.0007935515450148965
CTPS1,0.002038786368222995
SLFNL1-AS1,0.005330671735678103
SCMH1,0.0010486647921317223
HIVEP3,0.00500634736681687
FOXJ3,0.05528283121154582
PPCS,5.276373377643339e-06
PPIH,0.00627750561036856
YBX1,0.014974017711666551
P3H1,0.0008121668551591688
C1orf50,0.0023280022300192424
SLC2A1,0.008353218121797235
ELOVL1,0.00268026430657368
SZT2,0.0002395331855180485
KDM4A,0.0002808958351261075
ST3GAL3,0.011573755241350967
ATP6V0B,0.004669600144720049
DMAP1,6.535135831307754e-05
ERI3,0.0005820882664019067
RNF220,0.004151263279082309
ARMH1,0.0036758627356361685
RPS8,0.0060023786062580655
PLK3,0.00427915301583326
BTBD19,0.00956085778450695
PTCH2,0.004462520096596256
EIF2B3,0.000970445390939397
HECTD3,0.000786953077890286
ZSWIM5,0.002013832102169736
MUTYH,0.0010029134990617108
TOE1,0.0027457709521124703
TESK2,0.00365472625809087
PRDX1,0.002834353096363599
AKR1A1,0.004431855566102568
NASP,0.00016386820797934884
GPBP1L1,0.00296480952130016
IPP,0.001923219179240538
MAST2,0.0006340697150653504
POMGNT1,0.001461277962402085
LRRC41,0.014129780424788763
UQCRH,0.0014544850283582625
NSUN4,0.0002741649731322259
MKNK1,0.0014547253483507354
EFCAB14,0.002863449841828974
CMPK1,0.001345749647440802
SPATA6,5.50925270043028e-05
AGBL4,0.0047694217372961575
FAF1,0.004113222203790743
RNF11,0.0004913239716881185
EPS15,0.020555547097740334
AC104170.1,0.005799516180517907
OSBPL9,0.009330168521023467
NRDC,0.0007086300754501555
TXNDC12,0.004252903306944024
BTF3L4,0.00869147089241073
ZFYVE9,0.007637053685103475
CC2D1B,0.0017538095263182028
PRPF38A,0.0030419848426059895
TUT4,0.0007539856573336608
SHISAL2A,0.0008967233240775107
ZYG11B,1.82751634009701e-05
ECHDC2,0.001167226222836428
SCP2,0.0003644585057017215
CZIB,0.002554626477013569
MAGOH,0.002948807015144699
LRP8,0.0032481803662090794
NDC1,0.0013919295281063769
YIPF1,0.0007259940665041223
HSPB11,0.0014643037744096411
TMEM59,0.002829143090273176
SSBP3,0.0005455647781835536
USP24,0.0035165246507901735
DAB1,0.0007320256597651495
OMA1,0.008334999566280404
MYSM1,0.0023325175256884646
JUN,0.005577748052424756
LINC01135,0.0003756260216503011
FGGY,0.0010049900488486928
HOOK1,0.012778695488589092
NFIA,0.0005794499063748918
TM2D1,0.006871934511329616
PATJ,0.0013248406235126943
USP1,0.0022380930935953143
DOCK7,0.003699269315731919
ATG4C,0.003975544775068902
ALG6,0.0009938749561552258
ITGB3BP,0.011237190946139178
EFCAB7,0.004394100222154861
PGM1,0.0012330881136619468
ROR1,0.006683062256787757
CACHD1,0.00035555308402555603
JAK1,0.057725687854322076
PDE4B,0.0004013556214450471
MIER1,0.0004888857449680125
SLC35D1,0.004718234544398634
IL12RB2,0.002441231093008052
SERBP1,0.0030849267449366935
GADD45A,0.006783495669385617
LRRC7,0.00790613753180903
LRRC40,0.00021558296419196767
SRSF11,0.0029135957517068857
ANKRD13C,0.0028879218692895443
CTH,0.006111479116825956
ZRANB2,0.0026704946892404033
TYW3,0.0014937567218356838
RABGGTB,2.0901453938231136e-05
ST6GALNAC3,0.005958737198570115
PIGK,0.0026110542298146524
AK5,0.0015129787621273767
AC118549.1,0.01050873732352426
USP33,0.0008357076594324542
