,CD10,CD11b,CD11c,CD123,CD127,CD14,CD141,CD16,CD172a,CD185,CD19,CD192,CD197,CD21,CD24,CD25,CD269,CD27,CD278,CD279,CD3,CD304,CD319,CD38,CD39,CD4,CD40,CD45RA,CD45RO,CD56,CD66b,CD71,CD80,CD86,CD8a,CD95,FceRI,HLA.DR,IgD,IgG1.K.Isotype.Control,IgM,KLRG1,TCR.Va24.Ja18,TCR.Va7.2,TCR.a.b,TCR.g.d
cell_10,-1.2523496,-1.2523496,-0.39488116,0.27302474,-0.24930163,0.060872573,-0.83648556,0.060872573,-0.5804144,-0.83648556,2.2050107,-0.5804144,0.13918509,1.5674487,0.8244474,-0.12948048,-0.24930163,0.27302474,-0.83648556,-0.5804144,0.4344516,-0.83648556,-1.2523496,1.6985193,0.27302474,-0.027658267,-0.12948048,1.9298906,0.5647891,-0.12948048,-1.2523496,0.2093957,-1.2523496,-0.027658267,-0.24930163,0.99105936,-1.2523496,1.9710177,0.73828334,-1.2523496,1.1418697,0.2093957,-1.2523496,-1.2523496,0.27302474,2.1062648
cell_11,-1.1234301,-1.1234301,0.02186841,0.1625611,0.1625611,0.3869453,-0.14836161,0.4795169,-0.6580598,-1.1234301,0.70700747,-0.3639185,0.6380139,-0.14836161,-0.14836161,-0.14836161,-0.6580598,0.77060306,-0.6580598,0.02186841,1.1146146,-1.1234301,-0.14836161,4.1769347,-0.6580598,0.70700747,-0.6580598,1.1910545,1.0735202,0.1625611,-0.6580598,2.0001893,0.02186841,-0.6580598,0.02186841,0.02186841,-1.1234301,0.3869453,-0.6580598,-1.1234301,-1.1234301,0.3869453,-1.1234301,-1.1234301,0.6380139,1.2267386
cell_12,-0.22767806,-1.3675286,1.0636138,-1.3675286,-0.44559053,0.77671915,-0.06187484,0.571974,-0.76421136,-0.76421136,0.62906235,-0.44559053,0.36584562,-0.06187484,1.0021806,-1.3675286,-0.44559053,1.4054084,0.07199291,0.07199291,2.2488017,-0.44559053,-1.3675286,0.81972516,-1.3675286,2.3534772,0.07199291,1.440538,1.3089663,0.28094533,-1.3675286,-1.3675286,-0.44559053,-0.22767806,0.28094533,0.50979453,-0.06187484,0.07199291,-0.22767806,-1.3675286,-0.76421136,0.571974,-0.76421136,-1.3675286,1.1200724,1.4231944
cell_13,-1.1493727,-1.1493727,0.30573136,-0.3007928,-0.3007928,0.4283623,-1.1493727,0.30573136,-0.1550405,-1.1493727,0.3697806,-0.3007928,0.15633395,-0.74055475,0.77397734,-1.1493727,-1.1493727,0.80711055,-0.034873236,0.30573136,2.2285268,-1.1493727,0.30573136,0.8387186,-0.1550405,0.15633395,-0.1550405,2.4196887,1.0028042,-0.034873236,-1.1493727,-1.1493727,-1.1493727,-0.48605588,2.3056648,-0.3007928,-0.3007928,0.30573136,-0.034873236,-1.1493727,-0.3007928,2.4956665,-0.48605588,-0.74055475,0.6637479,1.2954446
cell_14,-1.2503035,-0.34810063,1.4667648,0.13093752,-0.19506238,0.35387668,-0.81252015,2.771954,0.28701496,-1.2503035,0.21323472,-0.54317874,0.47131175,-0.34810063,0.21323472,-0.81252015,-0.54317874,-0.19506238,-0.54317874,-0.19506238,0.8741943,-1.2503035,-0.19506238,1.9865842,-0.34810063,0.70081466,0.28701496,2.5337176,1.1082939,1.1718991,-1.2503035,-1.2503035,0.13093752,-1.2503035,0.03789714,-0.06911836,-0.54317874,-0.06911836,-0.54317874,-1.2503035,-1.2503035,1.6440752,-0.54317874,-0.81252015,0.61764914,0.6604427
cell_15,-0.17914726,-1.4382268,0.7203297,-1.4382268,0.7203297,0.7753251,-0.0037003297,0.6607975,0.13734058,-1.4382268,0.7753251,-0.7558604,0.13734058,-0.7558604,0.6607975,-0.4113941,-0.4113941,0.8264267,-0.7558604,-0.7558604,1.8407667,-1.4382268,0.13734058,0.91891295,-1.4382268,0.52461594,-0.0037003297,1.5084023,1.1725048,0.7753251,-1.4382268,-0.4113941,-0.4113941,-0.7558604,1.3110646,0.25528228,-1.4382268,0.13734058,0.25528228,-1.4382268,-0.7558604,2.7239573,-0.7558604,-0.17914726,0.6607975,1.1725048
cell_16,-0.71491313,-1.0590227,0.05933616,-0.30475613,-0.043183338,0.14927733,-0.30475613,0.36736912,-0.30475613,-0.4815544,0.4277127,-0.30475613,0.22939204,-0.16238053,0.4277127,-0.30475613,-0.16238053,1.729789,-0.043183338,-0.16238053,3.256678,-1.0590227,-0.30475613,2.3192167,-1.0590227,2.961276,-0.30475613,1.8133292,0.7505675,-0.71491313,-1.0590227,-0.71491313,-0.71491313,-1.0590227,0.05933616,0.05933616,-0.71491313,-0.4815544,-0.30475613,-1.0590227,-0.71491313,-0.043183338,-0.71491313,-0.4815544,0.30161744,0.9459872
cell_17,-1.2661438,-1.2661438,0.5178961,-0.7747623,0.30932638,0.12732008,-0.48412257,0.01579554,0.01579554,-0.48412257,0.22399977,0.01579554,1.3923075,-0.27700707,0.6297341,-1.2661438,-0.27700707,1.9403673,-0.27700707,-0.48412257,2.8503754,-1.2661438,-0.27700707,0.30932638,-0.7747623,2.7103586,0.22399977,1.1066664,0.92410177,-0.27700707,-1.2661438,-0.48412257,-0.27700707,-0.48412257,-0.7747623,0.67980415,-0.11597444,-0.27700707,-0.11597444,-1.2661438,-1.2661438,1.4102565,-0.27700707,-1.2661438,0.81215894,1.1066664
cell_18,-0.29472986,-1.3558924,0.57032114,-0.29472986,0.26012793,0.48094204,-0.6459282,-0.059376914,-0.29472986,-1.3558924,0.57032114,-1.3558924,0.1178843,-0.6459282,0.6498561,0.1178843,-0.059376914,1.2688838,-1.3558924,0.78668314,2.5030987,-1.3558924,-1.3558924,-0.059376914,-0.29472986,2.734485,0.1178843,1.358998,0.6498561,-0.29472986,-0.6459282,1.2688838,0.1178843,-0.6459282,-0.059376914,1.0458071,-1.3558924,-0.059376914,0.26012793,-0.6459282,-1.3558924,0.72150177,-0.6459282,-1.3558924,1.0458071,1.2018929
cell_19,-0.98797363,-1.3305439,-0.07311146,0.7579315,-0.98797363,-0.14994068,-1.3305439,-0.23630895,-0.4498461,0.059010226,1.8730464,-0.14994068,1.6615994,1.435833,0.4249457,-0.7593726,-1.3305439,0.11672396,-1.3305439,-0.4498461,0.059010226,-1.3305439,-0.07311146,1.2453408,0.5242546,-0.0039221686,0.4249457,1.4016767,0.86030906,-0.07311146,-1.3305439,1.3278865,-1.3305439,-0.4498461,-0.23630895,-0.33492503,-0.33492503,2.5677698,0.7796465,-0.98797363,1.2000833,-0.33492503,-0.23630895,-1.3305439,-0.14994068,1.383949
