,CD10,CD11b,CD11c,CD123,CD127,CD14,CD141,CD16,CD172a,CD185,CD19,CD192,CD197,CD21,CD24,CD25,CD269,CD27,CD278,CD279,CD3,CD304,CD319,CD38,CD39,CD4,CD40,CD45RA,CD45RO,CD56,CD66b,CD71,CD80,CD86,CD8a,CD95,FceRI,HLA.DR,IgD,IgG1.K.Isotype.Control,IgM,KLRG1,TCR.Va24.Ja18,TCR.Va7.2,TCR.a.b,TCR.g.d
cell_135,-1.2472142,-0.5271524,0.6862648,0.05960976,0.236244,0.49601433,-0.5271524,-0.17532265,0.236244,-0.5271524,0.37783602,0.05960976,0.236244,-0.17532265,0.6862648,-1.2472142,-1.2472142,1.5733364,-1.2472142,0.6862648,2.8373218,-1.2472142,0.05960976,0.59743476,-0.5271524,2.7054853,-0.5271524,1.2400671,1.3798082,0.49601433,-1.2472142,-0.5271524,-1.2472142,-0.17532265,-0.17532265,0.05960976,-0.17532265,-0.17532265,-1.2472142,-0.5271524,-1.2472142,0.7652881,-0.5271524,-1.2472142,1.066309,1.200416
cell_136,-0.5201916,-1.4473581,0.11470923,0.9065852,-1.4473581,0.50575036,-0.5201916,0.44302985,-0.84104544,0.3741702,2.0264328,-0.5201916,0.29783785,1.478772,0.56333745,-0.300605,-0.5201916,0.0014989849,-0.84104544,-0.5201916,0.29783785,-1.4473581,-0.300605,1.4635438,0.9065852,0.0014989849,0.50575036,1.2898273,0.44302985,-0.84104544,-1.4473581,1.0586922,-0.84104544,-1.4473581,0.0014989849,0.3741702,-0.84104544,2.2746272,1.0586922,-1.4473581,0.7556766,0.0014989849,-1.4473581,-1.4473581,0.7556766,1.0855334
cell_137,0.5012749,-1.2411342,-0.2965544,0.86889386,-0.7109476,-0.40991175,-0.7109476,0.20833424,-0.5446978,-0.40991175,1.8926287,-0.40991175,-0.19873762,0.70846164,0.6551316,-1.2411342,-0.40991175,0.15464108,-0.927971,-0.927971,0.5348097,-0.7109476,-0.40991175,2.6046095,0.5348097,-0.03593175,-0.03593175,1.6634389,0.5348097,-0.19873762,-1.2411342,0.20833424,-1.2411342,-0.7109476,-0.40991175,-0.40991175,-0.927971,1.5697442,1.1667558,-0.5446978,2.7587261,-0.11270956,-1.2411342,-1.2411342,0.033393092,1.3130946
cell_138,0.49139488,-1.2814265,0.06778301,1.0048313,-1.2814265,0.53503454,-0.39446327,0.06778301,-0.5838478,0.06778301,2.381376,-0.5838478,0.53503454,1.1563848,0.53503454,-0.84702533,-0.84702533,0.28201753,-1.2814265,-0.39446327,0.44476837,-1.2814265,-0.5838478,2.3039596,0.44476837,0.3406937,0.49139488,1.5270816,0.21780936,-1.2814265,-1.2814265,-0.39446327,-0.84702533,-1.2814265,0.21780936,-0.2464256,-1.2814265,1.6689765,1.2055265,-1.2814265,0.9141997,0.3406937,-0.39446327,-1.2814265,0.39471588,1.2943071
cell_139,-1.1523517,-1.1523517,0.2610846,-0.33741948,-0.13257584,0.50980157,-1.1523517,0.15314054,0.025024645,-1.1523517,0.7434262,-0.13257584,0.025024645,0.50980157,0.7912381,0.15314054,-0.6305702,1.292996,-0.13257584,0.2610846,2.3213105,-1.1523517,-1.1523517,0.5760629,-0.6305702,2.9270496,0.15314054,1.5024011,1.5944169,-0.33741948,-1.1523517,-0.6305702,-0.6305702,-0.33741948,0.43646303,1.1445189,-1.1523517,0.6364938,-1.1523517,-1.1523517,-1.1523517,0.50980157,-0.6305702,-1.1523517,0.6920377,1.1716009
cell_140,-0.57943666,0.29098457,2.4969943,0.29098457,-1.4106417,1.278451,-1.4106417,0.42136428,2.0923922,-1.4106417,0.53143394,0.97233844,-0.07582608,-0.3693143,0.3591703,-1.4106417,0.035146825,0.3591703,-0.87952036,-0.20747612,0.6266765,-0.57943666,-1.4106417,1.3929493,-0.07582608,0.53143394,0.035146825,1.0499774,0.8851294,-0.20747612,-0.87952036,-0.07582608,-1.4106417,0.99917495,-0.3693143,0.85349834,-1.4106417,1.5045094,-0.3693143,-0.87952036,-0.87952036,0.13106468,-0.87952036,-1.4106417,0.29098457,1.1630154
cell_141,-1.4415165,-1.4415165,-0.33772105,0.8076399,-1.1369591,0.3908822,-0.9248913,-0.13173743,-0.26218197,-0.7620335,1.8832457,-0.4223234,0.157376,1.3725635,0.62958115,-0.5184641,-0.7620335,-0.074565835,-1.4415165,-0.7620335,0.11668794,-1.1369591,-0.7620335,1.3865622,0.8384334,-0.13173743,-0.074565835,1.5188859,0.11668794,-0.4223234,0.3908822,-0.074565835,-1.1369591,-1.4415165,-0.9248913,0.157376,1.1303806,1.9424182,1.9672049,-1.4415165,0.56604683,-0.4223234,1.011287,-0.5184641,0.98729676,1.535916
cell_142,-0.6238883,-1.0916418,0.23157908,-0.15154004,-0.15154004,0.47624037,-1.0916418,0.47624037,0.0010900327,-1.0916418,0.40393904,-0.34796187,-0.34796187,0.23157908,0.7989971,-1.0916418,-0.15154004,2.2182386,-1.0916418,-0.6238883,2.6529706,-0.6238883,-0.34796187,0.8406506,-0.6238883,2.784697,-0.6238883,1.3171314,1.7077881,-0.34796187,-1.0916418,0.3231408,-1.0916418,-0.34796187,0.3231408,0.40393904,-1.0916418,0.3231408,0.3231408,-1.0916418,-1.0916418,0.3231408,-1.0916418,-0.6238883,0.60140264,1.1836288
cell_143,-0.3262858,-1.3288261,0.44793978,-0.3262858,-0.3262858,0.44793978,-0.66884345,0.22590928,-0.66884345,-0.3262858,0.6907468,0.083442904,0.44793978,-0.66884345,0.22590928,-1.3288261,-0.3262858,1.4681871,-0.66884345,0.22590928,2.400408,-1.3288261,-0.66884345,1.1775279,-0.09331491,0.53805697,0.22590928,2.250498,1.0620492,-0.3262858,-1.3288261,-0.3262858,-0.3262858,-0.66884345,2.8848405,0.083442904,-1.3288261,0.22590928,-0.3262858,-0.66884345,-0.66884345,0.44793978,-1.3288261,-1.3288261,0.756667,1.3652415
cell_144,-0.33344498,-0.8513334,0.25805667,-1.3944678,-0.33344498,0.7968047,-0.8513334,0.5770767,-0.54643446,-0.8513334,0.46594748,0.1727159,1.2351668,-0.33344498,0.8336647,0.40314338,-0.8513334,1.3657796,-0.8513334,-0.036426306,2.2569838,-1.3944678,-0.33344498,1.6783763,-1.3944678,2.2810495,0.1727159,2.03484,1.0220323,-0.036426306,-1.3944678,-0.33344498,-0.8513334,-0.8513334,-0.036426306,0.5770767,-0.8513334,0.1727159,-0.8513334,-0.8513334,-0.8513334,0.62676424,-0.16960314,-1.3944678,0.9645926,0.9340417
cell_145,0.004639088,-0.6175642,0.60151714,-0.34271085,-0.6175642,0.40523148,-1.0844419,0.004639088,-0.14720964,-0.6175642,0.54213744,-0.6175642,0.23386541,0.12881458,0.6561491,-0.34271085,-1.0844419,1.7864404,-0.6175642,-0.14720964,2.7611566,-1.0844419,-0.6175642,1.227249,-0.6175642,2.432573,-0.34271085,2.4286559,0.9836033,-0.6175642,-1.0844419,0.23386541,-1.0844419,-1.0844419,0.12881458,0.40523148,-0.6175642,0.004639088,0.004639088,-1.0844419,-1.0844419,0.60151714,-1.0844419,-1.0844419,0.87832767,1.2713428
cell_146,-1.1263491,-1.1263491,0.6079278,-0.63981,0.6079278,0.3261643,-0.3566371,0.23332505,0.126114,-0.3566371,0.23332505,-0.3566371,-0.3566371,0.3261643,0.66353023,-1.1263491,-1.1263491,1.5846971,-1.1263491,0.8498446,2.0727358,-0.63981,-0.15611763,0.76292324,-1.1263491,0.126114,-0.63981,1.2206439,1.0597277,-0.3566371,-1.1263491,-0.3566371,-1.1263491,0.126114,3.0965526,0.6079278,-0.3566371,0.126114,-0.3566371,-1.1263491,-1.1263491,1.8120984,-1.1263491,-1.1263491,0.6079278,1.2669367
cell_147,-1.4057846,-0.70973337,0.78552663,0.46631664,-1.4057846,0.16722566,-0.70973337,0.2818186,0.38016972,-0.14128335,2.2047534,-0.70973337,-0.36896157,1.3267595,1.0745442,-0.70973337,-0.70973337,0.54295653,-1.4057846,0.029944543,0.16722566,-1.4057846,-0.14128335,1.8696096,-0.36896157,0.46631664,0.46631664,1.596165,0.7323501,-0.14128335,-1.4057846,-0.14128335,-0.70973337,0.2818186,0.029944543,-0.14128335,-1.4057846,1.7776638,1.2524115,-1.4057846,0.67476726,-0.14128335,-1.4057846,-1.4057846,0.46631664,1.4551598
cell_148,-0.44417596,-1.2714387,0.64430994,-0.17717321,-0.8791766,0.34701896,-0.8791766,0.6087781,-0.07397953,-1.2714387,0.57135975,-0.44417596,0.39796257,-0.44417596,0.79922473,-1.2714387,-0.44417596,0.87808836,-0.29810777,0.016018575,2.2315814,-0.8791766,-0.29810777,0.57135975,-0.29810777,0.1674927,0.6087781,2.3364093,0.9261532,-0.17717321,-1.2714387,-1.2714387,-0.8791766,-0.8791766,2.4413176,0.57135975,-0.6286409,0.23254882,-0.29810777,-1.2714387,-0.6286409,2.1586645,-0.44417596,-1.2714387,0.85276824,1.0336764
cell_149,0.4631242,-1.1985275,0.7249536,-0.18648885,0.7249536,0.4631242,-1.1985275,1.1079301,0.04014603,-1.1985275,0.5616829,-1.1985275,-0.18648885,0.21109062,0.6480659,-0.52367604,-1.1985275,1.2589713,-1.1985275,0.04014603,2.805357,-0.52367604,-1.1985275,0.85726225,-0.52367604,2.67889,-0.52367604,1.2589713,1.3831441,-0.52367604,-0.18648885,0.5616829,-1.1985275,-0.18648885,-0.52367604,0.4631242,-0.52367604,0.3483855,-0.52367604,-1.1985275,-0.52367604,0.3483855,-1.1985275,-1.1985275,0.7249536,0.9685007
cell_150,-0.0042711864,-1.1869202,0.097673565,1.2170326,-1.1869202,0.26390502,-0.7301415,-0.4624248,-0.4624248,0.18599358,2.116986,-0.4624248,0.097673565,1.3140653,0.684695,-0.7301415,-0.27233246,0.18599358,-1.1869202,-0.0042711864,0.39665967,-1.1869202,-1.1869202,1.9499921,0.26390502,0.50718683,0.75829756,1.6307765,0.50718683,-0.4624248,-1.1869202,0.55622154,-0.7301415,-1.1869202,-0.4624248,0.097673565,-0.7301415,2.1768157,0.684695,-1.1869202,-1.1869202,0.26390502,-1.1869202,-1.1869202,0.55622154,2.056129
cell_151,-0.5358751,-0.7757686,0.3645887,-0.7757686,-0.09698949,0.46917436,-0.7757686,0.3645887,-0.09698949,-0.5358751,0.30580965,-0.21518894,0.3645887,-0.21518894,0.24165837,-0.5358751,-1.1429486,1.9924481,-0.21518894,-0.35738647,2.9211695,-1.1429486,-0.5358751,1.2738235,-0.7757686,2.1980298,-0.35738647,1.8582059,0.51615345,-0.35738647,-1.1429486,-0.35738647,-1.1429486,-0.5358751,2.2184541,0.30580965,-0.21518894,-0.09698949,-0.5358751,-1.1429486,-1.1429486,0.46917436,-0.7757686,-1.1429486,0.71300954,1.0993197
cell_152,-1.2251279,-1.2251279,0.20955794,-0.18004431,-1.2251279,0.34297645,-0.7809919,0.45415914,-0.18004431,-0.32730058,2.1827395,-0.18004431,0.20955794,1.6670734,0.34297645,-0.7809919,-0.32730058,0.20955794,-1.2251279,-0.7809919,0.74123657,-1.2251279,-0.7809919,1.339471,0.74123657,0.20955794,0.13133022,1.4747975,0.6328785,-0.7809919,-1.2251279,0.13133022,-1.2251279,0.042728093,-0.05942734,-0.05942734,-1.2251279,2.3186908,1.723145,-0.7809919,1.1335324,-0.05942734,-1.2251279,-1.2251279,0.50351024,1.568203
cell_153,-0.18763752,-0.7314808,0.22592095,-0.18763752,-0.7314808,0.40759796,-0.7314808,0.22592095,-0.7314808,-0.020897275,2.1672328,-0.18763752,-0.7314808,0.40759796,0.93927056,-1.3585961,-0.7314808,0.90110314,-0.40757772,-0.18763752,0.77211004,-1.3585961,-0.40757772,1.3057122,0.22592095,0.22592095,-0.40757772,1.9542062,1.0425894,-0.7314808,-1.3585961,0.55143535,-1.3585961,-1.3585961,0.22592095,0.11343121,-1.3585961,1.9795336,1.9189305,-1.3585961,1.2366974,0.67051065,-0.7314808,-1.3585961,0.11343121,1.1038032
cell_154,-0.41578642,-0.7381762,-0.29769072,1.6663711,-0.98201615,-0.55833423,-0.98201615,0.16103743,-0.7381762,0.47086746,1.8386915,-0.7381762,0.16103743,1.5269133,0.9430081,-1.3623618,-0.030912481,-0.29769072,-1.3623618,-0.7381762,0.26458904,-1.3623618,-0.98201615,1.5269133,0.3546173,0.16103743,0.16103743,1.5789881,0.43424973,0.21475264,-1.3623618,-0.19687374,-0.7381762,-0.55833423,-0.108918965,-0.29769072,-0.7381762,1.9043404,1.6471648,-1.3623618,1.0737982,0.47086746,-0.55833423,-1.3623618,0.47086746,1.8386915
cell_155,-0.511495,-1.045459,0.37609297,-0.511495,0.14270522,0.80066067,-0.511495,0.2694638,-0.21752118,-1.045459,0.2694638,0.14270522,0.4681183,-0.013593304,0.6865488,-0.511495,-1.045459,1.5963341,-0.013593304,-0.511495,2.8437064,-1.045459,-1.045459,1.9217459,-1.045459,2.4597027,-0.013593304,1.9878613,0.74601996,-1.045459,-1.045459,0.6865488,-1.045459,-0.21752118,0.14270522,0.4681183,-1.045459,-0.21752118,-0.21752118,-1.045459,-1.045459,-0.21752118,-1.045459,-0.511495,0.6213099,1.1585168
cell_156,-0.69034475,0.441637,2.5808163,0.9702764,-0.9448891,0.99070334,0.72531974,-0.12844606,1.8742124,-1.3450524,-0.23286553,-0.03741137,0.11574881,-0.35529593,0.5975281,-0.9448891,-0.35529593,0.11574881,-0.69034475,-0.69034475,0.63169205,-1.3450524,-1.3450524,1.6011193,0.56164014,1.0298771,-0.03741137,0.9492456,0.7815244,-0.35529593,-1.3450524,-0.35529593,-1.3450524,0.72531974,-0.9448891,0.24170178,-0.69034475,2.3243313,-0.35529593,-1.3450524,-0.9448891,0.043283157,-0.9448891,-0.9448891,0.441637,0.9702764
cell_157,-0.6231966,-0.6231966,2.4850245,-0.34974697,-1.09539,0.38622022,-1.09539,2.3244805,1.0677354,-1.09539,0.5782898,-0.34974697,0.21827194,-0.15648727,0.6811444,-1.09539,-1.09539,-0.15648727,-1.09539,0.21827194,0.3075293,-1.09539,0.3075293,2.4322681,-0.6231966,0.3075293,-0.34974697,1.5929917,0.8848038,1.0405293,-1.09539,-0.34974697,-0.34974697,-0.6231966,-0.15648727,0.11516358,-1.09539,0.38622022,-0.0068982807,-0.6231966,-1.09539,1.3289518,-1.09539,-1.09539,0.8106412,1.0121634
cell_158,-1.463665,-1.016595,0.115250155,-0.53951687,-0.74016076,0.24738443,-1.016595,0.18427035,-1.016595,0.30552396,2.11482,-0.53951687,0.115250155,1.506621,1.1274143,-0.74016076,-0.38192344,0.9163198,-0.74016076,-0.74016076,0.4566617,-1.463665,-0.2521311,1.2765163,0.039103284,0.89146805,0.58204824,2.6038942,0.58204824,-0.53951687,-1.016595,-0.1417862,-1.016595,-1.016595,-0.38192344,0.039103284,-1.016595,1.786584,0.30552396,-1.463665,1.387709,0.039103284,-0.38192344,-1.016595,0.6195188,1.4005003
cell_159,-0.9881963,-1.4175289,0.22452863,1.1194949,-0.72287554,0.16399185,-0.9881963,-0.14876959,-0.25462377,-0.37914163,1.9775268,-0.37914163,-0.25462377,1.4216094,0.8661034,-1.4175289,0.91149116,0.33198327,-0.9881963,-0.25462377,0.5455127,-1.4175289,-0.9881963,2.0337296,-0.72287554,0.16399185,-0.25462377,1.6712742,0.46765155,-0.53034353,-1.4175289,-0.72287554,-0.37914163,-0.53034353,-0.25462377,-0.53034353,-0.25462377,1.3660243,1.6001991,-1.4175289,1.6787483,0.33198327,-0.9881963,-0.25462377,0.28029326,1.7007083
cell_160,-1.3045843,-0.60885847,2.5654755,0.88950473,-1.3045843,0.93636596,0.8648091,0.042574283,1.9022931,-1.3045843,0.1217313,1.2415991,-0.1501098,-0.41962472,0.4197276,-0.41962472,-0.60885847,0.4197276,-1.3045843,-0.27164382,0.78485805,-1.3045843,-0.87163043,1.4622886,0.4197276,1.2559234,-0.27164382,0.88950473,0.6264342,-1.3045843,-1.3045843,0.5510914,-0.87163043,0.4663831,-0.27164382,0.6611989,-0.60885847,1.4517322,-0.1501098,-1.3045843,-0.60885847,-0.1501098,-1.3045843,-1.3045843,0.4197276,0.93636596
cell_161,-0.46997312,-0.46997312,-1.1399511,0.48603868,-0.46997312,0.07798528,-1.1399511,0.48603868,0.07798528,-1.1399511,0.580906,0.37551066,0.48603868,0.24310891,0.80452096,-1.1399511,-1.1399511,1.7384654,-1.1399511,0.24310891,2.572279,-0.46997312,-0.46997312,1.4471495,-1.1399511,2.2298467,-0.46997312,2.2145271,0.9206407,-1.1399511,-0.46997312,-0.14153542,-0.14153542,-1.1399511,0.07798528,0.07798528,-0.46997312,0.37551066,-0.14153542,-1.1399511,-1.1399511,0.6640047,-0.46997312,-1.1399511,0.971941,1.1822001
cell_162,-1.3530973,-1.3530973,0.25228038,-0.64207685,-1.3530973,0.25228038,-0.29443493,0.557159,0.11232623,-1.3530973,0.7056284,0.3690958,0.3690958,0.11232623,1.0239325,-1.3530973,-0.64207685,0.63527584,0.25228038,0.7056284,2.528264,-1.3530973,-0.29443493,0.557159,-1.3530973,2.411839,0.25228038,1.5447505,1.3583293,-0.64207685,-1.3530973,-0.64207685,-0.64207685,-0.64207685,0.11232623,0.882508,-0.29443493,0.11232623,-0.29443493,-0.64207685,0.11232623,0.557159,-0.64207685,-1.3530973,1.3311591,1.3844962
cell_163,-0.7071598,-1.0560039,2.5886695,0.9531707,-0.4805689,0.33830467,1.7239113,2.1956725,2.0507414,-1.0560039,-0.06765623,-0.5841366,-0.5841366,-0.1787036,0.41608214,-1.0560039,-0.5841366,0.07007563,-1.0560039,-0.018464264,0.33830467,-1.0560039,-0.5841366,0.280811,-0.858679,1.0050117,-0.858679,1.7813537,0.07007563,-0.5841366,-1.0560039,0.9638716,-0.858679,1.1867291,-0.39113525,-0.120834775,-0.7071598,1.6347458,-0.312437,-0.858679,-0.7071598,-0.2421709,-0.7071598,-1.0560039,-0.018464264,0.80897003
cell_164,-0.62064135,-0.62064135,2.213594,-0.15087806,-0.62064135,1.3409263,0.14491607,0.60562015,1.9652249,-0.15087806,-0.15087806,0.010400867,0.14491607,-0.35228434,0.67307675,-1.8601806,-0.62064135,0.36131966,-1.8601806,-1.0239975,0.9455227,-1.0239975,-1.0239975,1.0737474,-0.35228434,1.0332123,0.45116168,1.1492143,1.1844732,-0.62064135,-1.0239975,0.26029864,-0.62064135,0.5320545,0.36131966,0.010400867,-0.15087806,0.60562015,0.010400867,-1.8601806,-0.62064135,0.60562015,-1.0239975,-1.8601806,0.60562015,1.9246141
cell_165,-0.3465417,-1.057292,0.3946953,-1.057292,-0.3465417,0.31450745,-0.3465417,-0.0040465905,0.11921709,-1.057292,0.31450745,-0.0040465905,0.97423375,-0.0040465905,0.3946953,-0.61413324,-1.057292,2.2176669,-0.61413324,-0.1542457,2.990828,-1.057292,-1.057292,1.5973606,-0.3465417,2.3269515,-0.0040465905,2.1006167,0.74363494,-0.1542457,-1.057292,-0.1542457,-1.057292,-0.1542457,0.31450745,-0.0040465905,-1.057292,0.22375254,-0.1542457,-1.057292,-0.61413324,-0.0040465905,-1.057292,-1.057292,0.74363494,0.94076747
cell_166,-1.0682466,-1.0682466,0.06844747,-0.70237327,-0.14779615,0.30230814,-1.0682466,-0.14779615,-0.46461704,-1.0682466,0.15551661,-0.14779615,0.23281197,-0.2881645,0.15551661,-1.0682466,-0.46461704,1.9889274,-0.2881645,0.3654355,2.9268167,-0.70237327,-1.0682466,1.513525,-0.46461704,2.5886414,-0.46461704,1.897222,1.0405443,-0.2881645,-1.0682466,0.06844747,-1.0682466,-0.46461704,0.06844747,0.86031747,-0.2881645,0.23281197,0.06844747,-1.0682466,-0.70237327,1.0844299,-0.70237327,-1.0682466,0.9936738,0.7988015
cell_167,0.17644688,-1.4522355,0.79479176,-1.4522355,0.17644688,0.44503194,0.17644688,0.79479176,-0.007397609,-0.25403813,0.44503194,0.5494488,0.44503194,0.32306862,0.72183675,-1.4522355,-0.25403813,1.8937212,-1.4522355,-0.6300854,2.069729,-1.4522355,-0.25403813,1.2073978,-1.4522355,0.92184746,0.17644688,2.6233423,1.0299721,-0.6300854,-1.4522355,-0.6300854,-0.007397609,-0.25403813,0.32306862,-0.007397609,-0.6300854,-0.007397609,-0.25403813,-0.6300854,-0.25403813,0.5494488,-1.4522355,-1.4522355,0.5494488,1.3815717
cell_168,0.07201,-1.2032031,0.5093449,-0.63114315,-0.63114315,0.20840102,-1.2032031,0.20840102,-0.31536955,-0.63114315,0.42220944,0.20840102,0.5093449,0.42220944,0.7802337,-1.2032031,-0.09611605,2.2533157,-1.2032031,0.07201,2.4183466,-1.2032031,-0.63114315,0.32315642,-0.63114315,0.5093449,0.5093449,1.198094,0.8852703,-0.63114315,-1.2032031,-1.2032031,-0.63114315,-0.09611605,3.1280522,0.72139823,-0.63114315,0.07201,0.07201,-0.63114315,-1.2032031,0.07201,-0.63114315,-1.2032031,0.97700083,1.0959405
cell_169,-1.059057,0.39770532,2.5922744,0.8849266,-0.27401805,1.0654218,1.0242356,-0.7733756,1.6649784,-1.5287807,-0.27401805,0.09938951,-0.27401805,-0.7733756,0.39770532,-1.059057,-0.40636638,0.4900353,-0.5674654,-0.40636638,0.6461161,-0.7733756,-0.5674654,1.6188322,-0.06412887,1.2268678,-0.5674654,1.0242356,0.8040868,-0.7733756,-1.059057,0.7133795,-0.7733756,1.0851907,0.09938951,0.09938951,-1.059057,1.8742105,-0.40636638,-1.5287807,-1.059057,0.29227135,-1.5287807,-1.5287807,0.09938951,0.8849266
cell_170,-1.1261657,-1.1261657,0.37562498,-1.1261657,0.28245842,0.04671614,-1.1261657,-0.1106122,-1.1261657,-0.1106122,-0.1106122,-0.1106122,0.28245842,-0.1106122,0.7130209,-1.1261657,-1.1261657,0.7643743,-0.6072539,0.17464815,2.3416724,-1.1261657,-0.6072539,0.59713316,-1.1261657,2.8207178,-0.1106122,1.6430888,1.4356434,0.17464815,-1.1261657,-0.6072539,-0.1106122,-0.6072539,0.17464815,1.1370668,-0.6072539,0.17464815,0.04671614,-0.6072539,0.04671614,2.2512617,-0.6072539,-1.1261657,0.7643743,1.1652471
cell_171,-0.21858005,-1.2455739,-0.42574376,-0.42574376,-0.42574376,0.35794768,0.1801398,0.07074682,-0.72164553,-0.72164553,0.76320934,-0.059033066,0.6693322,0.1801398,0.49953556,-0.72164553,-1.2455739,1.7767962,-0.42574376,-0.21858005,2.5613375,-1.2455739,-0.21858005,1.6775256,-1.2455739,2.2508526,0.1801398,2.1737578,1.0477965,-1.2455739,-1.2455739,0.1801398,-0.72164553,-0.72164553,0.27468973,0.1801398,-1.2455739,0.1801398,0.07074682,-0.72164553,-0.42574376,0.27468973,-1.2455739,-0.72164553,1.0179528,1.2918453
cell_172,-0.6179017,-1.0766578,0.32311,-1.0766578,0.0020589812,0.47595096,-1.0766578,0.4037575,-0.14980567,-0.34486386,0.4037575,-0.34486386,0.12643383,-0.34486386,0.7984744,-1.0766578,-0.34486386,1.4622418,-1.0766578,-1.0766578,2.8949316,-1.0766578,-0.34486386,1.833419,-0.6179017,2.3298626,-0.34486386,2.453174,0.95180815,-0.34486386,-1.0766578,-0.14980567,-0.6179017,-0.34486386,0.12643383,0.7541482,-0.14980567,0.0020589812,-0.6179017,-1.0766578,-0.6179017,0.47595096,-0.6179017,-1.0766578,0.98534834,0.8793955
cell_173,-1.1133876,-1.1133876,0.45822796,-0.5479946,0.2557314,0.1262393,-0.033815455,0.45822796,-1.1133876,-1.1133876,0.7408313,-0.24346611,0.79632604,-0.5479946,0.36448228,-0.24346611,-0.5479946,1.6798478,-0.033815455,-0.033815455,2.5732012,-1.1133876,-0.24346611,2.3367252,-0.24346611,2.5692728,-1.1133876,1.3491238,0.8476357,-1.1133876,-1.1133876,-0.5479946,0.2557314,-0.24346611,0.5406115,-0.033815455,-1.1133876,-0.033815455,-0.033815455,-1.1133876,-0.5479946,0.1262393,-1.1133876,-1.1133876,1.0211946,1.0211946
cell_174,-1.1879387,-1.1879387,0.5646513,-0.555344,-0.555344,0.5646513,-1.1879387,0.27701792,-0.23468004,-0.555344,0.7050884,0.27701792,0.14542487,-1.1879387,0.76567733,-0.555344,0.27701792,2.0879924,-0.23468004,0.76567733,2.3917892,-1.1879387,-1.1879387,0.8212711,-0.23468004,2.501983,0.3870871,1.3490708,1.1520582,0.14542487,-1.1879387,0.4816935,-0.018207826,-1.1879387,-0.555344,1.083302,-0.23468004,-1.1879387,-1.1879387,-1.1879387,-0.23468004,0.3870871,-0.555344,-1.1879387,0.5646513,1.083302
cell_175,-1.1032069,-1.1032069,0.7389728,-0.19589978,0.017582247,-0.50851595,-1.1032069,0.017582247,-0.50851595,-1.1032069,0.67223877,0.017582247,0.5152389,0.17988954,0.67223877,-1.1032069,-0.50851595,1.3353196,-0.50851595,0.017582247,2.8867679,-1.1032069,-1.1032069,2.2377985,-1.1032069,2.2163305,0.31087357,1.5198493,0.90711653,-0.50851595,-1.1032069,0.4206904,-0.50851595,-1.1032069,-0.50851595,0.5152389,-0.19589978,0.5152389,-0.19589978,-0.19589978,-1.1032069,0.17988954,-0.50851595,-1.1032069,1.1543192,1.0418686
cell_176,-0.21318875,-1.1774822,0.4993393,-0.05636168,0.847198,0.07194933,-0.6981618,0.27466285,-0.6981618,-0.6981618,-0.21318875,-0.41493878,0.35773167,-0.6981618,0.4993393,-0.6981618,-1.1774822,2.17138,-0.6981618,0.18053624,2.7311668,-1.1774822,-0.6981618,0.95615464,-0.41493878,2.7145088,-0.41493878,1.0505588,1.787303,-0.6981618,-1.1774822,0.71836966,-0.05636168,-0.6981618,-0.21318875,1.0794227,-0.6981618,0.27466285,-0.6981618,-1.1774822,-0.6981618,0.35773167,-0.6981618,-1.1774822,0.35773167,1.208355
cell_177,-0.36806348,-1.4160587,0.6422944,-0.1343573,0.87273365,0.9204226,-0.36806348,-0.36806348,-0.1343573,-1.4160587,0.49183398,0.30141136,0.18324333,-0.1343573,0.570986,-0.71622115,-0.71622115,1.0072596,-0.36806348,0.041808743,1.9972531,-1.4160587,-0.36806348,1.3046141,-0.71622115,2.6429553,-0.1343573,1.4054834,1.8483555,-0.71622115,-0.36806348,0.7071749,-0.71622115,-0.71622115,-0.1343573,0.40289742,-1.4160587,0.6422944,0.041808743,-1.4160587,-1.4160587,0.7071749,-1.4160587,-1.4160587,0.7666907,1.0072596
cell_178,-0.6500463,-1.1808847,0.372458,-0.6500463,-0.13502184,0.5349288,-1.1808847,0.372458,-0.6500463,-1.1808847,0.6042311,0.16244097,-0.347528,-0.6500463,0.2750634,-0.6500463,-1.1808847,1.2279762,0.4582566,0.028930482,3.150023,-1.1808847,-0.347528,1.1392183,-0.13502184,2.584772,0.028930482,1.4220735,1.443039,-0.347528,-1.1808847,-0.347528,-0.347528,-0.6500463,0.16244097,0.4582566,-1.1808847,0.2750634,-0.6500463,-1.1808847,-0.347528,1.2552913,-0.347528,-1.1808847,0.7255862,1.1995862
cell_179,-1.194679,-1.194679,-0.2703621,0.94264936,-0.82341415,0.23632304,-1.194679,-0.5852852,-0.5852852,-0.2703621,1.937593,-0.5852852,0.10567764,1.7705288,0.52244055,-1.194679,-0.5852852,0.6299957,-1.194679,-0.40961793,1.1401038,-0.82341415,-0.5852852,1.5730408,0.52244055,0.10567764,0.52244055,1.2801427,0.43985388,-0.82341415,-1.194679,0.52244055,-0.82341415,-0.5852852,-0.05648232,-0.2703621,-0.82341415,2.5285885,1.4272751,-0.82341415,-0.40961793,0.23632304,-0.5852852,-1.194679,0.59601367,2.0474865
